name,address,phone,website,rating,reviews_count,category,hours,price_range,google_maps_url,search_query,scraped_at,latitude,longitude
Indian Accent Mumbai," Jio World Centre, Ground Floor, Nita Mukesh Ambani Cultural Centre, C-64, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",022 3525 1500,https://www.indianaccent.com/mumbai,4.7,4456,Indian restaurant,,"·₹2,000+",https://www.google.com/maps/place/Indian+Accent+Mumbai/data=!4m7!3m6!1s0x3be7c9607d51ad53:0xeaa53cc22cc84079!8m2!3d19.0652364!4d72.8664515!16s%2Fg%2F11tgc3l9gs!19sChIJU61RfWDJ5zsReUDILMI8peo?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:41:26.757610,19.0652364,72.8664515
Dakshin Coastal," 31/1, 31/2, Itc Maratha, 31/3, IA Project Rd, Sahar Village, Andheri East, Mumbai, Maharashtra 400059",,https://www.google.co.in/intl/en/about/products?tab=lh,4.8,1346,South Indian restaurant,,·₹₹₹₹,https://www.google.com/maps/place/Dakshin+Coastal/data=!4m7!3m6!1s0x3be7c8412f6d8ec9:0x1a9db97c2833c4d3!8m2!3d19.1039676!4d72.8699327!16s%2Fg%2F1hjh3ql5m!19sChIJyY5tL0HI5zsR08QzKHy5nRo?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:41:33.634717,19.1039676,72.8699327
Masala Library by Jiggs Kalra," Ground Floor, First International Financial Centre, Citi Bank Building, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",084549 00900,http://masalalibrary.co.in/,4.3,5196,North Indian restaurant,,"·₹2,000+",https://www.google.com/maps/place/Masala+Library+by+Jiggs+Kalra/data=!4m7!3m6!1s0x3be7c8ec2f38657b:0xcdc8ba8aba2faa6b!8m2!3d19.0691053!4d72.8697293!16s%2Fg%2F1ptxg2vws!19sChIJe2U4L-zI5zsRa6ovuoq6yM0?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:44:12.887117,19.0691053,72.8697293
Bayroute Powai," Office 4, Hiranandani Business Park, WWF One Boulevard, Lake Blvd Rd, Hiranandani Gardens, MHADA Colony 19, Powai, Mumbai, Maharashtra 400076",086574 48949,https://www.google.co.in/intl/en/about/products?tab=lh,4.7,7717,Middle Eastern restaurant,,·₹₹₹,https://www.google.com/maps/place/Bayroute+Powai/data=!4m7!3m6!1s0x3be7c7ae2de8a8df:0xa9f72a12941bc8ce!8m2!3d19.120231!4d72.907027!16s%2Fg%2F11ffl_7tgt!19sChIJ36joLa7H5zsRzsgblBIq96k?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:44:19.272571,19.120231,72.907027
Peshwa Pavilion," International Airport, Itc Maratha, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099",022 2830 3030,https://www.itchotels.com/in/en/itcmaratha-mumbai?utm_source=google&utm_medium=organic%20Search&utm_term=itcmaratha%20Restaurants&utm_campaign=listing,4.7,347,North Indian restaurant,,"·₹2,000+",https://www.google.com/maps/place/Peshwa+Pavilion/data=!4m7!3m6!1s0x3be7c846e0e1512f:0xdd51b67c02a795aa!8m2!3d19.1039406!4d72.8696246!16s%2Fg%2F11c60mq83r!19sChIJL1Hh4EbI5zsRqpWnAny2Ud0?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:46:57.128201,19.1039406,72.8696246
Shamiana," The Taj Mahal Palace Hotel, B K Boman Behram Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",022 6665 3271,https://www.tajhotels.com/en-in/hotels/taj-mahal-palace-mumbai/restaurants/shamiana-mumbai-colaba?utm_source=Google&utm_medium=Local&utm_campaign=taj-mahal-palace-mumbai-shamiana,4.1,9304,North Indian restaurant,,"·₹2,000+",https://www.google.com/maps/place/Shamiana/data=!4m7!3m6!1s0x3be7d1c0db257b5f:0xf1943ecedc05112!8m2!3d18.9220554!4d72.8330387!16s%2Fg%2F12633_jlq!19sChIJX3sl28DR5zsRElHA7exDGQ8?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:47:03.074008,18.9220554,72.8330387
JYRAN - TANDOOR DINING & LOUNGE," C 57, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",022 6117 5115,https://sofitel.accor.com/en/hotels/6451/R004.restaurant.html,4.7,4456,Restaurant,,"·₹2,000+",https://www.google.com/maps/place/JYRAN+-+TANDOOR+DINING+%26+LOUNGE/data=!4m7!3m6!1s0x3be7c8ec3c48b18d:0xee930c428c65dd82!8m2!3d19.0676551!4d72.8689674!16s%2Fg%2F11c5zfckwb!19sChIJjbFIPOzI5zsRgt1ljEIMk-4?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:47:09.702803,19.0676551,72.8689674
Shalimar Restaurant," Shalimar Restaurant, Bhendi Bazaar, Mandvi, Mumbai, Maharashtra 400003",022 6909 8888,http://shalimarrestaurants.co/,5.0,3,North Indian restaurant,,·₹₹,https://www.google.com/maps/place/Shalimar+Restaurant/data=!4m7!3m6!1s0x3be7ce3c58d7bbeb:0xd5367b7032593948!8m2!3d18.9580002!4d72.8323221!16s%2Fg%2F1ptxchjx5!19sChIJ67vXWDzO5zsRSDlZMnB7NtU?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:49:16.608102,18.9580002,72.8323221
The Bombay Cartel," Kamala Mills Compound, Shop 4-5, 1st Floor Bombay Hub, Z - Wing, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",087799 89215,https://thebombaycartel.com/,4.5,10970,Gastropub,,·₹₹₹,https://www.google.com/maps/place/The+Bombay+Cartel/data=!4m7!3m6!1s0x3be7cfd34defb369:0x4d0c98041bdbbd61!8m2!3d19.0025054!4d72.8294298!16s%2Fg%2F11f794tq2l!19sChIJabPvTdPP5zsRYb3bGwSYDE0?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:49:24.407477,19.0025054,72.8294298
Mirchi & Mime," Transocean House, Lake Blvd Rd, Hiranandani Gardens, MHADA Colony 19, Powai, Mumbai, Maharashtra 400076",088280 24151,http://www.mirchiandmime.com/,4.2,11521,Indian restaurant,,·₹₹₹,https://www.google.com/maps/place/Mirchi+%26+Mime/data=!4m7!3m6!1s0x3be7b6f124415089:0xefb869d2b9b45509!8m2!3d19.1198088!4d72.9073412!16s%2Fg%2F1jkxzy3zq!19sChIJiVBBJPG25zsRCVW0udJpuO8?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:49:31.341869,19.1198088,72.9073412
Ekaa," 1st Floor, Kitab Mahal, D Sukhadwala Rd, Azad Maidan, Fort, Mumbai, Maharashtra 400001",099876 57989,https://www.ekaamumbai.com/,4.2,3898,Restaurant,,"·₹2,000+",https://www.google.com/maps/place/Ekaa/data=!4m7!3m6!1s0x3be7d12e6b476353:0x4d716f978f966b15!8m2!3d18.937483!4d72.8338696!16s%2Fg%2F11s0s_2vjr!19sChIJU2NHay7R5zsRFWuWj5dvcU0?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:49:38.454897,18.937483,72.8338696
Keibaa x All saints," Royal Western India Turf Club, Mahalakshmi, Mumbai, Maharashtra 400018",074000 66610,https://keiba.dotpe.in/order/,4.4,4182,Asian restaurant,,·₹₹₹,https://www.google.com/maps/place/Keibaa+x+All+saints/data=!4m7!3m6!1s0x3be7cfabb5b216cb:0xf5aa0727aafd6725!8m2!3d18.9805309!4d72.8218455!16s%2Fg%2F11hbfhv1v0!19sChIJyxaytavP5zsRJWf9qicHqvU?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:51:45.802408,18.9805309,72.8218455
Tanatan Shivaji Park," 121, Ground Floor, Vidya Bhavan, opposite Sena Bhavan Dadar, Shivaji Park, Mumbai, Maharashtra 400028",086575 75329,https://tanatan.co/tanatan-shivaji-park/,3.7,2654,North Indian restaurant,,·₹₹₹,https://www.google.com/maps/place/Tanatan+Shivaji+Park/data=!4m7!3m6!1s0x3be7cf6a42eb035f:0xdac83b5d36b3f94c!8m2!3d19.0250199!4d72.8402141!16s%2Fg%2F11fn1w_ryc!19sChIJXwPrQmrP5zsRTPmzNl07yNo?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:51:52.708572,19.0250199,72.8402141
The Clearing House," 13-15, Calicut Rd, Ballard Estate, Fort, Mumbai, Maharashtra 400001",091375 17707,https://www.instagram.com/tchbombay/,4.2,1597,European restaurant,,·₹₹₹,https://www.google.com/maps/place/The+Clearing+House/data=!4m7!3m6!1s0x3be7d1da67679c35:0xc44096d9101d09c8!8m2!3d18.9352466!4d72.8382876!16s%2Fg%2F11cs5nm94g!19sChIJNZxnZ9rR5zsRyAkdENmWQMQ?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:52:00.314112,18.9352466,72.8382876
The Sassy Spoon Nariman Point," Ground Floor, Express Towers, Plot A, Ramnath Goenka Marg, next to HDFC Bank, Nariman Point, Mumbai, Maharashtra 400021",099200 03500,http://www.thesassyspoon.co.in/,4.4,6710,Restaurant,,·₹₹₹,https://www.google.com/maps/place/The+Sassy+Spoon+Nariman+Point/data=!4m7!3m6!1s0x3be7d1e8d2441ec3:0xf9a8861f4166f0e9!8m2!3d18.9281713!4d72.8222833!16s%2Fg%2F11f4qrsb_h!19sChIJwx5E0ujR5zsR6fBmQR-GqPk?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:52:07.820259,18.9281713,72.8222833
Masque," Masque, Unit G3, Shree Laxmi Woollen Mills, Shakti Mills Ln, off Doctor Elijah Moses Road, Mahalakshmi, Mumbai, Maharashtra 400011",,http://www.masquerestaurant.com/,4.3,1422,Modern Indian restaurant,,·₹₹₹₹,https://www.google.com/maps/place/Masque/data=!4m7!3m6!1s0x3be7ce8af24717d9:0xae1b5b0526d83ff6!8m2!3d18.9898258!4d72.8256177!16s%2Fg%2F11c542tq17!19sChIJ2RdH8orO5zsR9j_YJgVbG64?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:54:14.649875,18.9898258,72.8256177
Cray Craft," 1, Town Centre, Shop no.06,106, near, Andheri - Kurla Rd, next to Marol naka metro station, Marol, Mumbai, Maharashtra 400059",099200 62479,https://www.swiggy.com/city/mumbai/cray-craft-marol-marol-sakinaka-rest688993?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.3,559,Asian restaurant,,,https://www.google.com/maps/place/Cray+Craft/data=!4m7!3m6!1s0x3be7c94ddba46113:0x3247f378a1ab746b!8m2!3d19.1068904!4d72.8832101!16s%2Fg%2F11t46plm8v!19sChIJE2Gk203J5zsRa3SroXjzRzI?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:55:52.024956,19.1068904,72.8832101
Trishna," Sai Baba Mandir Marg, next to Commerce House, opp. Kalaghoda Cafe, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",092062 60260,https://www.swiggy.com/city/mumbai/trishna-restaurant-fort-fort-colaba-rest65222?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.3,3546,Seafood restaurant,,"·₹2,000+",https://www.google.com/maps/place/Trishna/data=!4m7!3m6!1s0x3be7d13c1abc5e8d:0x35306f3e0fd872bb!8m2!3d18.9286299!4d72.8324035!16s%2Fg%2F11g_yh3yf9!19sChIJjV68GjzR5zsRu3LYDz5vMDU?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:57:58.772858,18.9286299,72.8324035
Slink & Bardot," Thadani House 329/A Opposite Indian Coast Guard Worli Village, Mumbai, Maharashtra 400030",093269 65643,https://wa.link/03yovk,4.3,686,Restaurant,,·₹₹₹,https://www.google.com/maps/place/Slink+%26+Bardot/data=!4m7!3m6!1s0x3be7cebb41f0f65f:0x2fb44c7d9345d17e!8m2!3d19.017247!4d72.817521!16s%2Fg%2F11g6xr1g5w!19sChIJX_bwQbvO5zsRftFFk31MtC8?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:58:36.626918,19.017247,72.817521
Noor Mohammadi Hotel & Restaurant," Abdul Hakim, Noor Mohammadi Chowk, 181-183, I R Road, Bhendi Bazaar, Mandvi, Mumbai, Maharashtra 400003",093201 92786,https://www.tripadvisor.com/ShowUserReviews-g304554-d5788715-r680893130?m=68573&staydates=2025_07_06_2025_07_07&uguests=1_2_0&supdv=desktop&supuc=IN&supul=en,3.6,872,Add website,,·₹₹,https://www.google.com/maps/place/Noor+Mohammadi+Hotel+%26+Restaurant/data=!4m10!3m9!1s0x3be7ce3c5d24c17d:0xf0439fb495d62106!5m2!4m1!1i2!8m2!3d18.9578906!4d72.8322293!16s%2Fg%2F1tyksvlz!19sChIJfcEkXTzO5zsRBiHWlbSfQ_A?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T00:59:12.860740,18.9578906,72.8322293
Namak - Indian Specialty Restaurant," Hotel Sahara Star, opposite Terminal 1, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099",022 3989 5000,https://www.saharastar.com/dining/namak-indian-specialty.html,4.3,10938,Hyderabadi restaurant,,·₹₹,https://www.google.com/maps/place/Namak+-+Indian+Specialty+Restaurant/data=!4m7!3m6!1s0x3be7c856a7d54355:0xfbfb5b72c9db17e5!8m2!3d19.0953606!4d72.8541814!16s%2Fg%2F1tf38_mk!19sChIJVUPVp1bI5zsR5RfbyXJb-_s?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T01:00:20.635459,19.0953606,72.8541814
Jamavar - Indian Speciality Restaurant," Sahar Airport Rd, Mariyyman Nagar, Greater Indra Nagar, Andheri East, Mumbai, Maharashtra 400059",022 6691 1350,https://www.theleela.com/the-leela-mumbai/restaurants/jamavar/,4.3,5545,North Indian restaurant,,,https://www.google.com/maps/place/Jamavar+-+Indian+Speciality+Restaurant/data=!4m7!3m6!1s0x3be7c8157d66e7b7:0x158c5278d2309918!8m2!3d19.1093078!4d72.8738246!16s%2Fg%2F1tf38_mj!19sChIJt-dmfRXI5zsRGJkw0nhSjBU?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T01:00:26.573718,19.1093078,72.8738246
Baluchi - A Pan Indian Destination," The Lalit Hotel, Sahar Airport Road, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059",022 6104 3142,http://www.thelalit.com/the-lalit-mumbai/eat-and-drink/baluchi/,4.7,3344,Indian restaurant,,,https://www.google.com/maps/place/Baluchi+-+A+Pan+Indian+Destination/data=!4m7!3m6!1s0x3be7c86a851b641b:0x4d013b2cf566b1bf!8m2!3d19.1054985!4d72.8759222!16s%2Fg%2F1tx13vgv!19sChIJG2QbhWrI5zsRv7Fm9Sw7AU0?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T01:02:02.902250,19.1054985,72.8759222
THE PUNJABI'S KITCHEN & BAR," FIRST FLOOR, Sanjay Appa Chambers, HARGOBIND JI MARG ROAD, Dr. Charatsingh Colony, S B Singh Colony, J B Nagar, Andheri East, Mumbai, Maharashtra 400093",098196 08346,https://www.swiggy.com/city/mumbai/the-punjabi%27s-kitchen-and-bar-chakala-andheri-east-rest2312?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder,4.1,294,North Indian restaurant,,·₹₹,https://www.google.com/maps/place/THE+PUNJABI%27S+KITCHEN+%26+BAR/data=!4m7!3m6!1s0x3be7c839e1a89b8b:0x7b75dbb5618e7a6a!8m2!3d19.1114652!4d72.8635712!16s%2Fg%2F1tj9rth2!19sChIJi5uo4TnI5zsRanqOYbXbdXs?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T01:05:39.759369,19.1114652,72.8635712
Oye Kake," Shop No, 13, Cawasji Patel Rd, beside Yazdhani Bakery, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",097694 08182,http://www.oyekake.in/,4.1,2994,Punjabi restaurant,,·₹₹,https://www.google.com/maps/place/Oye+Kake/data=!4m7!3m6!1s0x3be7d1dc9e55a795:0xf11256967539e4d1!8m2!3d18.9330556!4d72.8336111!16s%2Fg%2F1hhh8f9z2!19sChIJladVntzR5zsR0eQ5dZZWEvE?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T01:06:16.952741,18.9330556,72.8336111
The Bay View," Hotel Marine Plaza, 29 Marine Drive, 2nd Cross Rd, Mumbai, Maharashtra 400020",022 2285 1212,http://www.hotelmarineplaza.com/,4.2,3538,Fine dining restaurant,,"·₹2,000+",https://www.google.com/maps/place/The+Bay+View/data=!4m7!3m6!1s0x3be7ce1e8741d455:0xbe039e3af7a9bf98!8m2!3d18.9312832!4d72.8230755!16s%2Fg%2F1tgfnlq8!19sChIJVdRBhx7O5zsRmL-p9zqeA74?authuser=0&hl=en&rclk=1,restaurants in Mumbai,2025-06-27T01:08:24.169867,18.9312832,72.8230755
